iter	Passed	Remaining
469	687	775
470	688	773
471	689	771
472	690	769
473	691	767
474	692	765
475	693	763
476	694	761
477	695	759
478	696	757
479	697	755
480	698	753
481	699	751
482	700	749
483	700	747
484	702	745
485	703	743
486	703	741
487	704	739
488	705	737
489	706	735
490	707	733
491	708	731
492	709	729
493	710	727
494	711	725
495	712	723
496	713	721
497	714	720
498	715	718
499	716	716
500	717	714
501	718	712
502	719	710
503	720	708
504	721	706
505	722	705
506	723	703
507	724	701
508	725	699
509	725	697
510	726	695
511	727	693
512	729	692
513	729	690
514	730	688
515	731	686
516	732	684
517	733	682
518	734	680
519	735	679
520	736	677
521	737	675
522	738	673
523	739	671
524	740	669
525	741	667
526	742	666
527	743	664
528	744	662
529	745	660
530	746	659
531	747	657
532	748	655
533	749	653
534	750	652
535	751	650
536	752	648
537	753	646
538	754	644
539	754	643
540	755	641
541	756	639
542	757	637
543	758	636
544	759	634
545	760	632
546	761	630
547	762	629
548	763	627
549	764	625
550	765	623
551	766	622
552	767	620
553	768	618
554	769	616
555	770	615
556	771	613
557	772	611
558	773	609
559	774	608
560	775	606
561	776	605
562	777	603
563	778	601
564	779	599
565	780	598
566	781	596
567	781	594
568	782	593
569	783	591
570	784	589
571	785	587
572	786	586
573	787	584
574	788	583
575	789	581
576	790	579
577	791	578
578	792	576
579	793	574
580	794	573
581	795	571
582	796	569
583	797	568
584	798	566
585	799	564
586	800	563
587	801	561
588	802	559
589	803	558
590	804	556
591	805	554
592	806	553
593	806	551
594	807	549
595	808	548
596	809	546
597	810	545
598	811	543
599	812	541
600	813	540
601	814	538
602	815	536
603	816	535
604	817	533
605	818	532
606	819	530
607	820	528
608	821	527
609	821	525
610	822	523
611	823	522
612	824	520
613	825	519
614	826	517
615	827	516
616	828	514
617	829	512
618	830	511
619	831	509
620	832	508
621	833	506
622	834	504
623	835	503
624	836	501
625	837	500
626	838	498
627	839	497
628	840	495
629	841	493
630	841	492
631	842	490
632	843	489
633	844	487
634	845	486
635	846	484
636	847	483
637	848	481
638	849	479
639	850	478
640	851	476
641	852	475
642	853	473
643	854	472
644	855	470
645	856	469
646	857	467
647	858	466
648	859	464
649	860	463
650	861	461
651	862	460
652	863	458
653	864	457
654	865	455
655	866	454
656	867	452
657	868	451
658	868	449
659	869	448
660	870	446
661	871	445
662	872	443
663	874	442
664	875	441
665	876	439
666	877	438
667	878	436
668	879	435
669	880	433
670	881	432
671	882	430
672	883	429
673	884	427
674	885	426
675	886	424
676	887	423
677	888	421
678	889	420
679	890	418
680	891	417
681	892	415
682	893	414
683	894	413
684	895	411
685	896	410
686	897	408
687	897	407
688	898	405
689	899	404
690	900	402
691	901	401
692	902	399
693	903	398
694	904	396
695	905	395
696	906	393
697	907	392
698	908	391
699	909	389
700	910	388
701	911	386
702	912	385
703	912	383
704	913	382
705	914	380
706	915	379
707	916	378
708	917	376
709	918	375
710	919	373
711	920	372
712	921	370
713	922	369
714	923	368
715	924	366
716	925	365
717	926	363
718	927	362
719	928	360
720	929	359
721	930	358
722	930	356
723	931	355
724	932	353
725	933	352
726	934	350
727	935	349
728	936	348
729	937	346
730	938	345
731	939	343
732	940	342
733	941	341
734	942	339
735	943	338
736	944	337
737	945	335
738	946	334
739	947	332
740	948	331
741	949	330
742	950	328
743	950	327
744	951	325
745	952	324
746	953	323
747	954	321
748	955	320
749	956	318
750	957	317
751	958	316
752	959	314
753	960	313
754	961	311
755	962	310
756	963	309
757	964	307
758	965	306
759	966	305
760	967	303
761	968	302
762	969	301
763	970	299
764	970	298
765	971	296
766	972	295
767	973	294
768	974	292
769	975	291
770	976	290
771	977	288
772	978	287
773	979	285
774	980	284
775	981	283
776	982	281
777	983	280
778	984	279
779	985	277
780	985	276
781	986	275
782	987	273
783	988	272
784	989	271
785	990	269
786	991	268
787	992	267
788	993	265
789	994	264
790	995	263
791	996	261
792	997	260
793	998	259
794	999	257
795	1000	256
796	1001	255
797	1002	253
798	1003	252
799	1005	251
800	1006	250
801	1007	248
802	1008	247
803	1009	245
804	1009	244
805	1010	243
806	1011	241
807	1012	240
808	1013	239
809	1014	238
810	1015	236
811	1016	235
812	1018	234
813	1019	232
814	1020	231
815	1021	230
816	1022	229
817	1023	227
818	1024	226
819	1025	225
820	1026	223
821	1027	222
822	1028	221
823	1029	219
824	1030	218
825	1031	217
826	1032	215
827	1033	214
828	1034	213
829	1035	212
830	1036	210
831	1037	209
832	1038	208
833	1039	206
834	1040	205
835	1041	204
836	1042	202
837	1043	201
838	1044	200
839	1045	199
840	1046	197
841	1047	196
842	1048	195
843	1049	193
844	1050	192
845	1050	191
846	1051	190
847	1052	188
848	1053	187
849	1054	186
850	1055	184
851	1056	183
852	1057	182
853	1058	180
854	1059	179
855	1060	178
856	1061	177
857	1062	175
858	1063	174
859	1064	173
860	1065	171
861	1066	170
862	1067	169
863	1068	168
864	1069	166
865	1070	165
866	1071	164
867	1072	163
868	1073	161
869	1074	160
870	1075	159
871	1076	157
872	1077	156
873	1078	155
874	1078	154
875	1079	152
876	1080	151
877	1081	150
878	1082	149
879	1083	147
880	1084	146
881	1085	145
882	1086	143
883	1087	142
884	1088	141
885	1089	140
886	1090	138
887	1091	137
888	1092	136
889	1093	135
890	1094	133
891	1095	132
892	1096	131
893	1097	130
894	1098	128
895	1099	127
896	1100	126
897	1101	125
898	1102	123
899	1103	122
900	1104	121
901	1105	120
902	1106	118
903	1107	117
904	1108	116
905	1109	115
906	1110	113
907	1110	112
908	1111	111
909	1112	110
910	1113	108
911	1114	107
912	1115	106
913	1116	105
914	1117	103
915	1118	102
916	1119	101
917	1120	100
918	1121	98
919	1122	97
920	1123	96
921	1124	95
922	1125	93
923	1126	92
924	1126	91
925	1127	90
926	1128	88
927	1129	87
928	1130	86
929	1131	85
930	1132	83
931	1133	82
932	1134	81
933	1135	80
934	1136	79
935	1137	77
936	1138	76
937	1139	75
938	1140	74
939	1141	72
940	1142	71
941	1143	70
942	1144	69
943	1145	67
944	1146	66
945	1147	65
946	1148	64
947	1149	63
948	1150	61
949	1151	60
950	1152	59
951	1153	58
952	1154	56
953	1155	55
954	1156	54
955	1157	53
956	1158	52
957	1159	50
958	1160	49
959	1160	48
960	1161	47
961	1162	45
962	1163	44
963	1164	43
964	1165	42
965	1166	41
966	1167	39
967	1168	38
968	1169	37
969	1170	36
970	1171	34
971	1172	33
972	1173	32
973	1174	31
974	1175	30
975	1176	28
976	1177	27
977	1178	26
978	1179	25
979	1180	24
980	1180	22
981	1181	21
982	1182	20
983	1183	19
984	1184	18
985	1185	16
986	1186	15
987	1187	14
988	1188	13
989	1189	12
990	1190	10
991	1191	9
992	1192	8
993	1193	7
994	1194	6
995	1195	4
996	1196	3
997	1197	2
998	1198	1
999	1199	0
