"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,786.00","1,815.50","1,773.00","1,776.00","1,794.10","1,793.50","1,797.46","2,989.00","1,047.45","44,67,666","8,03,04,56,430.40","1,37,761"
"06-Jun-2025","EQ","1,795.00","1,815.90","1,765.10","1,778.80","1,777.00","1,776.00","1,793.89","2,989.00","1,047.45","83,94,808","15,05,93,28,361.90","2,49,917"
"05-Jun-2025","EQ","1,713.00","1,795.00","1,703.00","1,701.30","1,778.50","1,778.80","1,752.67","2,989.00","1,047.45","95,54,463","16,74,58,18,751.80","2,86,733"
"04-Jun-2025","EQ","1,714.00","1,746.30","1,677.10","1,708.90","1,703.00","1,701.30","1,705.09","2,989.00","1,047.45","68,23,572","11,63,48,16,869.20","1,90,173"
"03-Jun-2025","EQ","1,698.00","1,730.00","1,683.00","1,682.90","1,708.00","1,708.90","1,709.88","2,989.00","1,047.45","1,24,31,994","21,25,72,61,901.00","3,32,185"
"02-Jun-2025","EQ","1,533.40","1,698.00","1,531.10","1,529.70","1,679.00","1,682.90","1,642.71","2,989.00","1,047.45","1,99,82,537","32,82,55,93,189.40","4,73,419"
"30-May-2025","EQ","1,514.70","1,554.00","1,513.30","1,513.00","1,530.50","1,529.70","1,539.79","2,989.00","1,047.45","57,11,655","8,79,47,27,274.00","1,62,549"
"29-May-2025","EQ","1,534.00","1,538.00","1,506.00","1,519.30","1,513.00","1,513.00","1,521.92","2,989.00","1,047.45","44,32,920","6,74,65,43,275.10","1,10,688"
"28-May-2025","EQ","1,470.00","1,524.90","1,466.10","1,465.80","1,518.80","1,519.30","1,504.49","2,989.00","1,047.45","83,20,963","12,51,88,09,676.60","1,99,361"
"27-May-2025","EQ","1,467.90","1,476.00","1,452.10","1,468.90","1,466.00","1,465.80","1,466.84","2,989.00","1,047.45","31,29,322","4,59,02,22,328.80","76,692"
"26-May-2025","EQ","1,468.00","1,485.00","1,465.00","1,462.30","1,467.00","1,468.90","1,473.08","2,989.00","1,047.45","36,16,335","5,32,71,60,187.10","79,994"
"23-May-2025","EQ","1,461.00","1,474.70","1,445.00","1,455.50","1,460.10","1,462.30","1,458.69","2,989.00","1,047.45","44,22,837","6,45,15,50,424.80","99,322"
"22-May-2025","EQ","1,450.00","1,479.00","1,440.00","1,450.30","1,457.10","1,455.50","1,460.62","2,989.00","1,047.45","56,32,570","8,22,70,53,896.60","1,25,832"
"21-May-2025","EQ","1,447.90","1,463.30","1,420.10","1,448.60","1,448.00","1,450.30","1,444.69","2,989.00","1,047.45","58,06,437","8,38,84,81,685.30","1,35,083"
"20-May-2025","EQ","1,463.70","1,488.70","1,430.10","1,450.80","1,448.00","1,448.60","1,460.05","2,989.00","1,047.45","1,01,39,304","14,80,39,37,638.80","2,35,764"
"19-May-2025","EQ","1,420.00","1,468.00","1,408.00","1,408.80","1,455.00","1,450.80","1,447.49","2,989.00","1,047.45","95,02,730","13,75,50,71,288.10","2,21,461"
"16-May-2025","EQ","1,342.00","1,435.00","1,337.10","1,337.20","1,412.90","1,408.80","1,399.83","2,989.00","1,047.45","1,08,72,895","15,22,01,87,958.70","2,41,576"
"15-May-2025","EQ","1,339.00","1,347.40","1,331.70","1,336.40","1,336.90","1,337.20","1,338.51","2,989.00","1,047.45","25,86,421","3,46,19,56,003.20","77,537"
"14-May-2025","EQ","1,334.40","1,349.90","1,326.70","1,323.30","1,334.00","1,336.40","1,337.41","2,989.00","1,047.45","38,10,475","5,09,61,84,307.60","1,14,841"
"13-May-2025","EQ","1,281.70","1,325.00","1,275.40","1,279.00","1,323.00","1,323.30","1,307.03","2,989.00","1,047.45","53,86,536","7,04,03,67,359.90","1,32,901"
"12-May-2025","EQ","1,285.00","1,288.00","1,260.80","1,218.60","1,281.70","1,279.00","1,272.68","2,989.00","1,047.45","38,21,660","4,86,37,55,632.90","1,09,720"
"09-May-2025","EQ","1,194.00","1,233.10","1,194.00","1,240.20","1,231.00","1,218.60","1,212.52","2,989.00","1,047.45","39,87,697","4,83,51,47,227.80","1,38,840"
"08-May-2025","EQ","1,278.00","1,292.90","1,230.80","1,266.60","1,234.00","1,240.20","1,270.79","2,989.00","1,047.45","31,79,456","4,04,04,35,059.80","1,00,031"
"07-May-2025","EQ","1,236.20","1,292.50","1,236.20","1,260.20","1,271.50","1,266.60","1,268.02","2,989.00","1,047.45","50,75,138","6,43,53,82,986.30","1,39,537"
"06-May-2025","EQ","1,313.50","1,325.00","1,251.10","1,313.50","1,252.80","1,260.20","1,281.82","2,989.00","1,047.45","44,94,504","5,76,11,34,792.50","1,50,220"
"05-May-2025","EQ","1,279.90","1,328.00","1,260.00","1,328.20","1,311.00","1,313.50","1,286.20","2,989.00","1,047.45","92,86,432","11,94,41,63,913.40","2,65,260"
"02-May-2025","EQ","1,320.00","1,334.50","1,311.10","1,320.00","1,324.70","1,328.20","1,324.36","2,989.00","1,047.45","38,77,045","5,13,46,11,735.80","1,01,771"
"30-Apr-2025","EQ","1,340.00","1,342.00","1,310.30","1,346.20","1,316.00","1,320.00","1,322.70","2,989.00","1,047.45","30,86,189","4,08,20,94,802.10","1,03,618"
"29-Apr-2025","EQ","1,346.50","1,376.20","1,343.00","1,339.10","1,346.00","1,346.20","1,357.93","2,989.00","1,047.45","37,07,540","5,03,45,62,204.80","1,08,441"
"28-Apr-2025","EQ","1,330.90","1,346.80","1,312.90","1,330.90","1,340.30","1,339.10","1,336.44","2,989.00","1,047.45","48,13,144","6,43,24,67,875.50","1,31,321"
"25-Apr-2025","EQ","1,370.00","1,378.90","1,291.40","1,367.40","1,328.10","1,330.90","1,323.55","2,989.00","1,047.45","99,92,155","13,22,51,58,447.80","2,79,188"
"24-Apr-2025","EQ","1,362.00","1,377.90","1,345.50","1,360.90","1,368.50","1,367.40","1,364.41","2,989.00","1,047.45","69,70,592","9,51,07,79,779.80","1,67,707"
"23-Apr-2025","EQ","1,322.00","1,368.30","1,297.70","1,312.60","1,361.90","1,360.90","1,336.68","2,989.00","1,047.45","81,99,720","10,96,04,10,510.90","2,06,682"
"22-Apr-2025","EQ","1,322.50","1,334.70","1,305.00","1,306.80","1,310.50","1,312.60","1,320.61","2,989.00","1,047.45","64,73,593","8,54,91,13,055.60","1,64,953"
"21-Apr-2025","EQ","1,251.00","1,315.00","1,248.40","1,241.90","1,313.80","1,306.80","1,287.50","2,989.00","1,047.45","84,58,914","10,89,08,24,403.90","2,19,537"
"17-Apr-2025","EQ","1,230.00","1,249.80","1,218.00","1,232.20","1,242.00","1,241.90","1,239.00","2,989.00","1,047.45","40,32,112","4,99,57,98,245.30","1,05,436"
"16-Apr-2025","EQ","1,239.00","1,239.00","1,221.30","1,227.40","1,232.00","1,232.20","1,230.38","2,989.00","1,047.45","27,90,449","3,43,33,21,188.40","86,811"
"15-Apr-2025","EQ","1,190.00","1,231.00","1,180.00","1,168.00","1,230.90","1,227.40","1,214.35","2,989.00","1,047.45","37,79,299","4,58,93,76,957.60","1,08,019"
"11-Apr-2025","EQ","1,190.00","1,190.00","1,162.00","1,146.65","1,171.00","1,168.00","1,171.19","2,989.00","1,047.45","25,44,305","2,97,98,59,342.15","1,05,081"
"09-Apr-2025","EQ","1,169.00","1,173.55","1,140.60","1,171.95","1,147.00","1,146.65","1,155.07","2,989.00","1,047.45","22,30,395","2,57,62,69,122.55","1,02,420"
"08-Apr-2025","EQ","1,190.00","1,206.40","1,160.05","1,143.80","1,173.60","1,171.95","1,175.94","2,989.00","1,047.45","39,02,247","4,58,87,91,712.25","1,57,040"
"07-Apr-2025","EQ","1,079.90","1,169.00","1,079.90","1,199.85","1,152.35","1,143.80","1,128.04","2,989.00","1,047.45","51,95,672","5,86,09,11,177.75","2,39,721"
"04-Apr-2025","EQ","1,240.00","1,242.00","1,185.00","1,238.30","1,204.50","1,199.85","1,204.62","2,989.00","1,047.45","44,43,755","5,35,30,18,402.40","1,47,865"
"03-Apr-2025","EQ","1,208.00","1,240.00","1,203.00","1,221.45","1,239.95","1,238.30","1,230.27","2,989.00","1,047.45","34,25,692","4,21,45,32,430.95","98,221"
"02-Apr-2025","EQ","1,201.90","1,225.90","1,192.55","1,197.80","1,223.25","1,221.45","1,214.16","2,989.00","1,047.45","30,07,043","3,65,10,21,673.85","92,862"
"01-Apr-2025","EQ","1,219.00","1,222.25","1,194.00","1,220.05","1,198.00","1,197.80","1,206.84","2,989.00","1,047.45","30,60,117","3,69,30,76,239.40","1,13,385"
"28-Mar-2025","EQ","1,206.40","1,259.80","1,206.40","1,187.70","1,220.00","1,220.05","1,235.87","2,989.00","1,047.45","1,16,46,090","14,39,30,84,303.15","2,83,272"
"27-Mar-2025","EQ","1,175.00","1,198.50","1,170.00","1,181.20","1,190.00","1,187.70","1,184.85","2,989.00","1,047.45","39,13,181","4,63,65,28,277.30","1,22,086"
